name,address,phone
Pineview Community Hospital,62 Pineview Circle,555-4001
Eastgate Medical Center,800 Eastgate Blvd,555-4002
Riverdale Urgent Care,11 Riverdale Ave,
Blue Ridge Hospital,490 Blue Ridge Pkwy,555-4004
Lakeside Children's Clinic,3 Lakeside Court,555-4005
Crossroads Medical Group,17 Crossroads Way,555-4006
Golden Gate Health Center,500 Golden Gate Rd,
Midtown Wellness Hospital,22 Midtown Plaza,555-4008
Brightwater Medical Institute,78 Brightwater Dr,555-4009
Clearfield Regional Hospital,9 Clearfield St,555-4010
